breathe#v#1740,THM,air#n#14865437,draw#v#1450719
respire#v#2325,AGT,respire#v#2325,undergo#v#2108377
respire#v#2325,THM,metabolic processes#n#13535517,undergo#v#2108377
respire#v#2325,VAL,respiration#n#832472,undergo#v#2108377
respire#v#2325,THM,oxygen#n#14672278,taking up#v#603507
respire#v#2325,THM,carbon monoxide#n#14821811,producing#v#1756303
respire#v#2573,AGT,respire#v#2573,breathe#v#2623136
respire#v#2573,TMP,again#r#40365,breathe#v#2623136
respire#v#2573,VAL,exertion#n#622867,breathe#v#2623136
respire#v#2573,VAL,anxiety#n#14397837,breathe#v#2623136
choke#v#2724,VAL,difficulty#n#625102,breathe#v#2623136
choke#v#2724,VAL,great#s#1389817,difficulty#n#625102
choke#v#2724,THM,emotion#n#7495208,experiencing#v#2114674
choke#v#2724,VAL,strong#s#1832697,emotion#n#7495208
hyperventilate#v#2942,MNR,fast#r#86488,breathe#v#2623136
hyperventilate#v#2942,MNR,hard#r#92597,breathe#v#2623136
hyperventilate#v#2942,VAL,excessively#r#47392,hard#r#92597
hyperventilate#v#3133,THM,hyperventilation#n#835531,produce#v#1756303
aspirate#v#3316,THM,air#n#-1,suck in#v#2771650
burp#v#3443,AGT,burp#v#3443,expel#v#2406951
burp#v#3443,VAL,stomach#n#5403033,expel#v#2406951
burp#v#3443,THM,gas#n#14504664,expel#v#2406951
force#v#3662,AGT,force_out#v#3662,emit#v#2773266
force#v#3662,THM,cause#v#1649143,emit#v#2773266
force#v#3662,VAL,force#n#11479041,move#v#1839438
hiccup#v#3826,THM,sound#n#4988388,make#v#2566500
hiccup#v#3826,MNR,spasmodically#r#463471,breathe#v#2623136
sigh#v#4032,MNR,heavily#r#504667,breathe#v#2623136
sigh#v#4032,THM,sigh#v#4032,utter#v#985856
sigh#v#4032,ISA,sigh#v#4032,heave#v#988618
sigh#v#4032,MNR,deeply#r#173353,breathe#v#2623136
exhale#v#4227,AGT,exhale#v#4227,expel#v#2406951
exhale#v#4227,THM,air#n#14865437,expel#v#2406951
hold#v#4492,THM,hold#v#4492,keep#v#2687605
exhale#v#4605,AGT,exhale#v#4605,give out#v#2206426
exhale#v#4605,THM,breath#n#836693,give out#v#2206426
exhale#v#4605,THM,odor#n#4987257,give out#v#2206426
exhale#v#4605,ISA,breath#n#836693,odor#n#4987257
sneeze#v#4819,MNR,spasmodically#r#463471,exhale#v#4605
sneeze#v#4819,QNT,nose#n#3836375,entered#v#1084999
sneeze#v#4819,THM,irritant#n#5840108,entered#v#1084999
inhale#v#5041,AGT,inhale#v#5041,draw in#n#-1
inhale#v#5041,THM,air#n#14865437,draw in#n#-1
pant#v#5526,THM,pant#v#5526,breathe#v#2623136
pant#v#5526,MNR,noisily#r#229255,breathe#v#2623136
cough#v#5815,MNR,abruptly#r#61528,exhale#v#4605
cough#v#5815,QNT,cold#n#14168983,congestion#n#14343821
cough#v#5815,ISA,chest cold#n#-1,cold#n#14168983
cough#v#5815,SRC,chest#n#5560240,congestion#n#14343821
hack#v#6100,TMP,spasmodically#r#463471,hack#v#6100
hack#v#6100,MNR,spasmodically#r#463471,cough#v#5815
hack#v#6100,ISA,hack#v#6100,cough#v#5815
